test,chr,pop,n_genes,pearson_r,spearman_r,max_rel_diff,p99_rel_diff,median_rel_diff,exact_frac,rank_spearman,top20_overlap,top100_overlap
A_same_params,21,YRI,207,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
A_same_params,21,CEU,199,0.9999999999999997,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
A_same_params,21,CHB,195,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0
A_same_params,22,YRI,443,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
A_same_params,22,CEU,442,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
A_same_params,22,CHB,441,0.9999999999999996,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
B_extended_coverage,15,YRI,597,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
B_extended_coverage,15,CEU,595,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
B_extended_coverage,15,CHB,597,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
B_extended_coverage,15,PEL,594,1.0,0.9999999999999999,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0
C_chunk500,22,YRI,443,0.9999999999998971,1.0,2.0302095176665338e-06,9.415950642999492e-07,0.0,0.90744920993228,1.0,1.0,1.0
C_chunk500,22,CEU,442,0.9999999999999054,1.0,2.41017866659716e-06,1.2603116250837063e-06,0.0,0.9366515837104072,1.0,1.0,1.0
C_chunk500,22,CHB,441,0.9999999999998775,1.0,2.270812564909651e-06,1.382355761229176e-06,0.0,0.9002267573696145,1.0,1.0,1.0
C_chunk2000,22,YRI,443,0.9999999999999246,1.0,1.3846234793674871e-06,9.284595765847821e-07,0.0,0.9322799097065463,1.0,1.0,1.0
C_chunk2000,22,CEU,442,0.9999999999999292,1.0,1.3848094710191614e-06,1.0438750135409703e-06,0.0,0.9524886877828054,1.0,1.0,1.0
C_chunk2000,22,CHB,441,0.9999999999998772,1.0,2.796170365001882e-06,1.1642016140038001e-06,0.0,0.9002267573696145,1.0,1.0,1.0
