gene,chr,min_rank,min_pop,max_rank,rank_range,is_sd_overlap,biology,original_reference
SLC24A5,15,0.0009012830028628,GBR,0.2943298148835729,0.29342853188071,False,Skin pigmentation,Lamason2005
ABCC11,16,0.0019625523789317,CHB,0.259173222110765,0.2572106697318332,False,Earwax/sweat,Yoshiura2006
LCT,2,0.0031751071598666,CEU,0.8370135027799841,0.8338383956201174,False,Lactase persistence,Bersaglieri2004
EDAR,2,0.00339468519599,CHB,0.616533023844693,0.6131383386487029,False,Hair/teeth/sweat,Fujimoto2008
FADS1,11,0.0041776837652035,ITU,0.2265492359932088,0.2223715522280052,False,Long-chain PUFA,Mathieson2015
KITLG,12,0.0049748610743582,MXL,0.1432136788445199,0.1382388177701616,False,Pigmentation,Guenther2014
TRPV6,7,0.0054717382065448,CDX,0.766195399873391,0.7607236616668462,False,Calcium absorption,Akey2004
ALDH2,12,0.0080499947039508,TSI,0.3505935976256095,0.3425436029216586,False,Alcohol metabolism,Li2009
HERC2,15,0.00928480475382,FIN,0.8618778698474693,0.8525930650936493,True,Eye color,Sturm2008
ADH1B,4,0.0121260259465184,CHS,0.6448429541595926,0.6327169282130742,False,Alcohol metabolism,Li2007
IRGM,5,0.0142190152801358,FIN,0.7565374211000901,0.7423184058199543,False,Crohn's/autophagy,Bekpen2009
SH2B3,12,0.018642092998623,TSI,0.3185200823349343,0.2998779893363112,False,Immune/celiac,Zhernakova2011
ADH4,4,0.0234577707175006,CHS,0.7434819398170184,0.7200241690995177,False,Alcohol metabolism,Li2007
SLC45A2,5,0.0304522825971825,TSI,0.8836023789294817,0.8531500963322992,False,Skin pigmentation,Norton2007
ACKR1,1,0.0320912065871424,ESN,0.9598542073847128,0.9277630007975706,False,Malaria (Duffy),Tournamille1995
OAS1,12,0.0327073222198776,GWD,0.667302192564347,0.6345948703444694,False,Antiviral immunity,Mendez2012
HMGA2,12,0.0392862815693334,PEL,0.2997669244623371,0.2604806428930037,False,Height/growth,Weedon2008
CASP12,11,0.0672375515382175,PJL,0.7119180829726591,0.6446805314344416,False,Sepsis resistance,Wang2006
TYRP1,9,0.1612253550985796,KHV,0.6680394952215006,0.506814140122921,False,Pigmentation,Voight2006
OCA2,15,0.2992778249787595,JPT,0.8435851445452627,0.5443073195665031,False,Eye color,Sturm2009
MC1R,16,0.3505734919286321,JPT,0.9565929998942582,0.6060195079656261,False,Pigmentation,Harding2000
EPAS1,2,0.4260073066130142,PEL,0.7820100237404379,0.3560027171274237,False,Tibetan altitude,Yi2010
HBB,11,0.8123577063588712,PEL,0.9884990767607492,0.1761413704018779,False,Sickle / balancing,Allison1954
