gene,chr,superpop,max_xpehh,mean_xpehh,n_variants
TMEM30A,6,EAS,2.0966499507392937,0.7339747915872193,3039
ADAM22,7,EAS,2.0235945612157527,0.9259573158553634,3683
GRK2,11,SAS,2.4071089836542745,1.2756089507779007,3436
CCDC92,12,EAS,3.2534827135142,1.5577384664790408,4636
CLEC6A,12,EAS,2.783851922844789,1.1312315133938342,5387
SLC6A15,12,EAS,2.8254342391918006,0.8584559843099172,3074
CCDC70,13,SAS,1.5534203765785526,0.3978601394842957,3013
RAB11FIP3,16,SAS,2.446808943071239,0.9462539900245938,6792
ZNF420,19,EAS,2.3632780337564387,1.2849786971548394,4082
BPIFA2,20,SAS,1.9601838931968205,0.9493631889327612,3437
